age,education_level,study_hours_per_day,ai_tools_used,purpose_of_ai,grades_before_ai,grades_after_ai,daily_screen_time_hours
19,college,1.4,None,None,62,62,3
15,school,3.9,Copilot,Research,56,61,2
15,school,1.9,Copilot,Homework,75,88,5
15,school,2.8,None,None,55,55,3
19,college,2.7,None,None,59,59,3
16,school,1.4,None,None,58,58,4
16,school,3.4,Copilot,Research,72,78,5
14,school,3.2,None,None,73,73,3
19,college,1.3,Gemini,Homework,62,68,5
16,school,2.8,None,None,60,60,4
16,school,1.8,None,None,75,75,2
18,college,3.5,ChatGPT,Research,67,76,7
19,college,3.2,None,None,56,56,3
14,school,4.2,None,None,63,63,2
15,school,4.7,None,None,61,61,7
17,college,2.6,None,None,59,59,4
15,school,2.0,None,None,73,73,5
18,college,2.6,ChatGPT,Coding,70,76,2
14,school,1.6,Copilot,Research,74,80,5
17,college,3.4,None,None,71,71,4
18,college,4.4,Copilot,Coding,58,73,6
16,school,4.1,None,None,58,58,4
17,college,1.6,Copilot,Coding,63,76,3
18,college,4.7,None,None,75,75,6
18,college,1.8,None,None,60,60,6
18,college,4.7,None,None,70,70,2
14,school,4.7,None,None,62,62,2
15,school,4.5,ChatGPT,Coding,70,76,6
15,school,1.5,None,None,72,72,3
16,school,3.1,None,None,61,61,6
19,college,3.8,None,None,67,67,7
19,college,2.5,None,None,58,58,3
15,school,1.3,Copilot,Coding,62,76,3
14,school,1.3,ChatGPT,Homework,56,66,2
18,college,2.0,None,None,61,61,6
15,school,3.9,None,None,62,62,5
17,college,1.8,Copilot,Research,66,77,5
17,college,4.5,Copilot,Coding,75,81,2
17,college,3.9,ChatGPT,Homework,61,74,5
15,school,2.7,None,None,69,69,3
14,school,2.8,ChatGPT,Coding,72,77,2
15,school,1.7,None,None,70,70,3
17,college,4.6,Gemini,Homework,67,76,5
16,school,2.7,None,None,59,59,3
16,school,1.9,Copilot,Coding,72,77,7
16,school,1.2,None,None,71,71,6
15,school,1.2,ChatGPT,Homework,74,80,7
15,school,2.6,Copilot,Coding,56,70,2
17,college,3.6,None,None,63,63,3
19,college,3.9,Gemini,Research,59,74,7
16,school,2.8,ChatGPT,Research,74,88,2
14,school,3.2,None,None,59,59,4
14,school,4.5,None,None,64,64,3
17,college,4.3,None,None,74,74,7
18,college,1.0,None,None,58,58,3
16,school,1.5,Copilot,Coding,59,68,4
18,college,1.8,None,None,61,61,7
19,college,4.4,None,None,63,63,2
14,school,3.5,None,None,56,56,2
16,school,4.1,None,None,60,60,7
17,college,3.2,None,None,72,72,2
14,school,1.3,Copilot,Homework,66,80,6
15,school,2.7,Gemini,Research,56,66,3
19,college,2.0,Gemini,Coding,68,82,7
15,school,4.7,ChatGPT,Homework,68,73,3
19,college,4.7,None,None,62,62,4
15,school,4.1,Gemini,Homework,70,78,3
17,college,2.4,ChatGPT,Homework,61,72,4
16,school,4.5,None,None,66,66,7
18,college,2.6,None,None,55,55,2
16,school,1.7,None,None,56,56,2
18,college,2.7,None,None,68,68,6
18,college,1.5,Gemini,Homework,68,73,6
18,college,3.7,Gemini,Research,57,72,4
18,college,2.3,Copilot,Research,71,80,7
17,college,2.3,None,None,72,72,3
15,school,2.7,None,None,60,60,6
18,college,2.2,Gemini,Research,61,72,6
18,college,3.6,None,None,69,69,5
19,college,1.9,None,None,60,60,7
14,school,2.1,None,None,57,57,3
19,college,2.2,ChatGPT,Homework,56,64,5
18,college,4.4,Gemini,Research,75,89,3
19,college,3.8,None,None,67,67,3
15,school,3.6,ChatGPT,Research,62,69,7
18,college,2.9,ChatGPT,Research,59,71,7
18,college,5.0,None,None,69,69,6
19,college,4.6,None,None,72,72,5
15,school,4.0,None,None,69,69,4
15,school,4.4,None,None,71,71,5
19,college,2.0,None,None,57,57,7
16,school,1.9,None,None,65,65,6
14,school,1.6,Gemini,Coding,59,67,2
17,college,2.6,None,None,68,68,2
15,school,4.3,None,None,73,73,7
14,school,4.4,None,None,70,70,2
16,school,2.2,None,None,68,68,6
19,college,3.9,Gemini,Homework,63,74,5
14,school,2.6,None,None,60,60,5
15,school,4.9,Gemini,Coding,73,88,2
